#	0	1	2	3	5	6	7	8	9	11	12	13	14	15	17	18	20	21	22	23	24	25	26	27	28	29	30	31	32	35	37	38	39	41	42	43	44	45	46	47	49	50	51	52	53	54	55	57	58	59	60	62	63	64	65	66	68	69	70	72	73	74	76	77	78	80	81	82	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	103	105	106	107	108	110	112	114	115	116	117	119	120	121	123	124	125	126	127	128	129	130	131	132	133	134	135	137	139	141	143	144	145	146	147	150	151	152	153	154	155	156	157	158	159	160	161	163	165	166	167	168	169	171	172	173	174	175	176	178	179	180	183	184	185	187	188	190	191	192	193	194	195	199
0	233	0	6	2	0	6	5	0	0	0	0	0	0	1	3	0	0	5	1	0	0	0	0	0	6	11	0	0	16	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	3	0	2	0	0	4	1	0	10	0	0	1	0	0	0	0	0	1	7	0	0	0	7	1	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	2	0	1	0	0	1	0	0	0	0	0	9	0	0	0	2	16	0	0	0	0	0	0	0	2	8	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	15	0	0	0	0	0	0	3	4	0	0	0	27	0	0	1	0	4	1	59	0	13	0	1	3	21	0	3	0	0
1	0	10	2	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	1	0	0	0	0	1	0	0	0	0
2	0	0	136	0	0	0	2	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	2	3	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0	1	3	0	0	6	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	4	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	2	0	0	0	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	2	13	0	0	1	0	4	2	35	4	3	0	1	6	15	0	3	0	0
3	0	0	0	30	0	0	0	0	0	0	0	0	0	0	4	0	1	0	1	0	0	1	0	1	3	2	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	2	1	1	0	0	3	0	0	0	1	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	2	0	0	0	3	0	4	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	3	0	0	2	0	1	0	5	1	0	0	0	1	5	1	0	0	0
5	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	12	0	0	0	1	0	2	1	0	0	0
7	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	1	10	0	1	0	0	0	4	0	0	0	0
8	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	1	0	0	2	0	1	1	0	0	0
9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
